"NOMBRE","ACTIVIDAD","DIRECCION","X","X.1","origin","DIRECCION.CLEAN","regexp","calle","numero"
"MUSEO DEL HUMOR (MUHU)","MUSEO","DE LOS ITALIANOS AV. Y VILLAFLOR, AZUCENA",NA,NA,"D2","de los italianos av y villaflor azucena","","de los italianos av y villaflor azucena","de los italianos av y villaflor azucena"
"MUSEO HISTORICO DE BUENOS AIRES CORNELIO DE SAAVEDRA","MUSEO","LARRALDE, CRISOLOGO AV. 6309",NA,NA,"D2","larralde crisologo av 6309","^([a-z ]*)([0-9]+)","larralde crisologo av","6309"
"TORRE MONUMENTAL - CENTRO DE INFORMES DE MUSEOS","MUSEO","DEL LIBERTADOR AV. 49",NA,NA,"D2","del libertador av 49","^([a-z ]*)([0-9]+)","del libertador av","49"
"FERIA DE MATADEROS","PEÑA","DE LOS CORRALES AV. 6501",NA,NA,"D2","de los corrales av 6501","^([a-z ]*)([0-9]+)","de los corrales av","6501"
"PLANETARIO DE LA CIUDAD DE BUENOS AIRES ""GALILEO GALILEI""","PLANETARIO","SARMIENTO AV. Y ROLDAN, BELISARIO AV.",NA,NA,"D2","sarmiento av y roldan belisario av","","sarmiento av y roldan belisario av","sarmiento av y roldan belisario av"
"CAFE VICTORIA","BAR NOTABLE","ENTRE RIOS AV. 114",NA,NA,"D2","entre rios av 114","^([a-z ]*)([0-9]+)","entre rios av","114"
"VARELA VARELITA","BAR NOTABLE","SCALABRINI ORTIZ, RAUL AV. 2102",NA,NA,"D2","scalabrini ortiz raul av 2102","^([a-z ]*)([0-9]+)","scalabrini ortiz raul av","2102"
"PLAZA CAFE","BAR NOTABLE","RIVADAVIA AV. 4732",NA,NA,"D2","rivadavia av 4732","^([a-z ]*)([0-9]+)","rivadavia av","4732"
"8 ESQUINAS","BAR NOTABLE","FOREST AV. 1186",NA,NA,"D2","forest av 1186","^([a-z ]*)([0-9]+)","forest av","1186"
"MODENA DESING","BAR NOTABLE","FIGUEROA ALCORTA, PRES. AV. 2270",NA,NA,"D2","figueroa alcorta pres av 2270","^([a-z ]*)([0-9]+)","figueroa alcorta pres av","2270"
"LA PERLA BAR","BAR NOTABLE","JUJUY AV. 36",NA,NA,"D2","jujuy av 36","^([a-z ]*)([0-9]+)","jujuy av","36"
