NOMBRE	ACTIVIDAD	DIRECCION		
ADRIANA HIDALGO EDITORIAL	EDITORIAL	VITTORIA FRANCISCO DE 2324		
ANSWER JUST TIME S.R.L.	EDITORIAL	SUIPACHA 987		
GRAM EDITORA	EDITORIAL	COCHABAMBA 1652		
GRAN ALDEA EDITORES	EDITORIAL	CAMARONES 1762		
UTILISIMA SATELITAL	PRODUCTORA AUDIOVISUAL	PIEDRAS 1080		
GRUPO CLASA - CULTURAL LIBRERA AMERICANA S.A.	EDITORIAL	BELGRANO AV. 1494		
EDITORIAL GUADAL - EL GATO DE HOJALATA	EDITORIAL	DE MAYO AV. 1209		
EDITORIAL GUADALUPE	EDITORIAL	MANSILLA, LUCIO NORBERTO, GENERAL 3865		
HASA EDITORIAL HISPANOAMERICANA	EDITORIAL	SAN JUAN AV. 1338		
EDITORIAL Y REVISTA TOPIA	EDITORIAL	GUTIERREZ, JUAN MARIA 3809		
AKADIA LIBRERIA Y EDITORIAL	LIBRERIA	PARAGUAY 2078		
EDITORIAL ARGENTA	EDITORIAL	CORRIENTES AV. 1250		
ASUNTO IMPRESO EDICIONES	EDITORIAL	RIVAROLA, RODOLFO, DR. 115		
EDICIONES DEL SIGNO	EDITORIAL	ALVAREZ, JULIAN 2844		
MUSEO DE ARTE LATINOAMERICANO DE BUENOS AIRES (MALBA)	MUSEO	FIGUEROA ALCORTA, PRES. AV. 3415		
1960 TIERRA ADENTRO	LIBRERIA	RUSSEL 5017		
MUNDO HISPANO	LIBRERIA	RIVADAVIA AV. 3474		
ABC LIBRERIAS	LIBRERIA	LOPE DE VEGA AV. 3128		
ABRAXAS	LIBRERIA	PARAGUAY 3964		
ACCION	LIBRERIA	MORENO 457		
ACME AGENCY. CASA CENTRAL.	LIBRERIA	SUIPACHA 245		
AD-HOC VILLELA EDITOR	LIBRERIA	VIAMONTE 1450		
AGAPE LIBROS	LIBRERIA	ESMERALDA 755		
AGAPE LIBROS. SUCURSAL VILLA DEVOTO.	LIBRERIA	CUBAS, JOSE 3469		
AGROPECUARIA	LIBRERIA	PASTEUR 743		
AGUILAR LIBRERIA	LIBRERIA	BLANCO ENCALADA 2376		
ALBERTO CASARES	LIBRERIA	SUIPACHA 521		
EL ALEPH	LIBRERIA	CORRIENTES AV. 4790		
ALETHEIA	LIBRERIA	FLORIDA 835		
LIBRERIA Y EDITORIAL ALSINA	LIBRERIA	PARANA 137		
LIBRERIA DEL ALUMNO	LIBRERIA	MITRE, BARTOLOME 2101		
ANDORRA	LIBRERIA	MITRE, BARTOLOME 2109		
ANTAMI LIBROS	LIBRERIA	PICHINCHA 45		
LIBRERIA DE ANTAÑO	LIBRERIA	LIBERTAD 1236		
LIBRERIA ANTICUARIA EDGARDO HENSCHEL	LIBRERIA	RECONQUISTA 533		
LIBRERIA ANTIGONA. SUCURSAL CENTRO CULTURAL DE LA COOPERACION.	LIBRERIA	CORRIENTES AV. 1543		
LIBERARTE BODEGA CULTURAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1555		
LIBRERIA ANTIGONA. SUCURSAL CALLAO.	LIBRERIA	CALLAO AV. 737		
ANTIGUA	LIBRERIA	RIVADAVIA AV. 1175		
APLICACION TRIBUTARIA S.A.	LIBRERIA	VIAMONTE 1550		
"LIBRERIA CORDOBA - ""APUNTES"" LIBROS"	LIBRERIA	PARANA 1013		
AQUILEA	LIBRERIA	CORRIENTES AV. 2008		
ARCADIA LIBROS	LIBRERIA	ALVEAR, MARCELO T. DE 1548		
ASUNTO IMPRESO	LIBRERIA	RIVAROLA, RODOLFO, DR. 153		
ASUNTO IMPRESO. SUCURSAL PERU.	LIBRERIA	PERU 1064		
EL ATENEO. SUCURSAL SANTA FE.	LIBRERIA	SANTA FE AV. 1860		
EL ATENEO. SUCURSAL CABILDO.	LIBRERIA	CABILDO AV. 2093		
EL ATENEO. SUCURSAL FLORIDA.	LIBRERIA	FLORIDA 340		
EL ATENEO. SUCURSAL FLORIDA II.	LIBRERIA	FLORIDA 629		
EL AVE FENIX	LIBRERIA	PUEYRREDON AV. 1753		
LA LIBRERIA DE AVILA	LIBRERIA	ALSINA, ADOLFO 500		
EL BANQUETE. SUCURSAL CABILDO.	LIBRERIA	CABILDO AV. 1107		
LA BARCA LIBROS	LIBRERIA	SCALABRINI ORTIZ, RAUL 3048		
BECA	LIBRERIA	LEBENSOHN, MOISES 914		
BEKER LIBROS	LIBRERIA	LAVALLE 2040		
BIBLIOTERAPIA	LIBRERIA	SAN MARTIN AV. 2392		
LIBRERIA BIBLOS	LIBRERIA	PUAN 378		
BOLSA DEL LIBRO CUARTO INTERMEDIO	LIBRERIA	TUCUMAN 1438		
BOOK CENTER	LIBRERIA	JUNIN 84		
LIBROS DEL PASAJE	LIBRERIA	THAMES 1762		
BRUJAS	LIBRERIA	RODRIGUEZ PE�A 429		
BUENOS AIRES BOOKS	LIBRERIA	SALTA 742		
BUENOS AIRES BOOKS. SUCURSAL URIBURU.	LIBRERIA	URIBURU JOSE E., PRES. 637		
LOS CACHORROS	LIBRERIA	DIAZ VELEZ AV. 5011		
CADAQUES	LIBRERIA	SCALABRINI ORTIZ, RAUL AV. 181		
CALEIDOSCOPIO	LIBRERIA	ECHEVERRIA 3268		
CAPITULO DOS	LIBRERIA	CABELLO 3615		
CASA MARIO	LIBRERIA	ALBERDI, JUAN BAUTISTA AV. 6694		
CASASSA Y LORENZO LIBREROS. CASA CENTRAL.	LIBRERIA	ALVAREZ JONTE AV. 4461		
CASASSA Y LORENZO LIBREROS. SUCURSAL CUENCA.	LIBRERIA	CUENCA 3285		
CLUB PREMIER	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CAMPICHUELO 472		
TANGO PORTEÑO	MILONGA Y/O TANGUERIA	CERRITO 570		
"BIBLIOTECA ""DR. VICTOR RAUL MAITELLO"" DE LA ASOCIACION NEFROLOGICA DE BUENOS AIRES"	BIBLIOTECA	GASCON 88		
ESPACIO ARTISTICO COLETTE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1660		
CINE ARTEPLEX DEL PARQUE	CINE	CUENCA 3035		
CINE ARTEPLEX CENTRO	CINE	SAENZ PE�A, ROQUE, PRES. AV. 1150		
MILES DISCOS	DISQUERIA	HONDURAS 4912		
CENTRO CULTURAL FLOR DEL CEIBO	CENTRO CULTURAL	IRIARTE, GRAL. AV. 3463		
CENTRO CULTURAL TORQUATO TASSO	BAR CULTURAL	DEFENSA 1575		
DEL RIACHUELO ESPACIO DE ARTE	GALERIA DE ARTE	DON PEDRO DE MENDOZA AV. 1887		
EL CAMARIN DE LAS MUSAS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BRAVO, MARIO 960		
LA CARPINTERIA TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	JAURES, JEAN 858		
ESPACIO CALLEJON	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	HUMAHUACA 3759		
EL EXTRANJERO TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GOMEZ, VALENTIN 3378		
EL KAFKA ESPACIO TEATRAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	LAMBARE 866		
PROSCENIO. ESCUELA DE TEATRO MUSICAL.	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CABILDO AV. 2857		
TEATRO APOLO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1372		
LA CLAC SALA TEATRAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	DE MAYO AV. 1158		
CLUB ALEMAN	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CORRIENTES AV. 327		
CLUB AMERICANO	CENTRO CULTURAL	VIAMONTE 1133		
NOTORIUS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CALLAO AV. 966		
TEATRO EL PICADERO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	DISCEPOLO, ENRIQUE SANTOS 1857		
NOAVESTRUZ	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	HUMBOLDT 1857		
EL PATIO DE LOS ACTORES	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	LERMA 568		
CAFE VINILO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GORRITI 3780		
HASTA TRILCE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MAZA 1377		
THELONIUS CLUB	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SALGUERO, JERONIMO 1884		
CLUB ATLETICO FERNANDEZ FIERRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SANCHEZ DE BUSTAMANTE 764		
NICETO CLUB	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	VEGA, NICETO, CNEL. AV. 5510		
CENTRO CULTURAL DE LA MEMORIA HAROLDO CONTI	CENTRO CULTURAL	DEL LIBERTADOR AV. 8151		
AUDITORIO LOSADA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1551		
IL BALLO DEL MATTONE	BAR CULTURAL	GORRITI 5737		
LA CIGALE	BAR CULTURAL	25 DE MAYO 597		
TEATRO METROPOLITAN 1 Y 2	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CORRIENTES AV. 1343		
ASOCIACION LA NUBE, INFANCIA Y CULTURA	CENTRO CULTURAL	NEWBERY, JORGE AV. 3537		
TEATRO EL TINGLADO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BRAVO, MARIO 948		
TEATRO PORTEÑO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1630		
AUDITORIO AMIA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PASTEUR 633		
TEATRO DEL VIEJO MERCADO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	LAVALLE 3177		
AUDITORIO DE LA FUNDACION BEETHOVEN	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	JUNCAL 1264		
GARRICK ARTE Y CULTURA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	AVELLANEDA AV. 1359		
MUSEO DEL AUTOMOVIL	MUSEO	IRIGOYEN 2265		
BIBLIOTECA DEL DRAGON	BIBLIOTECA	HUALFIN 933		
TADRON TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	VEGA, NICETO, CNEL. 4802		
CENTRO CULTURAL LA MOROCHA	CENTRO CULTURAL	TUCUMAN 1735		
LA ESTACION, CASA DE ARTE	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	ZELAYA 3175		
CAFE HOMERO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CABRERA, JOSE A. 4946		
COLISEO SPORTS & FUN	BAR CULTURAL	FITZ ROY 2021		
SR. DUNCAN MULTIESPACIO CULTURAL	BAR CULTURAL	RIVADAVIA AV. 3832		
TEATRO EL LABERINTO DEL CICLOPE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MEXICO 1718		
TEATRO LA MUECA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORDOBA AV. 5300		
BORIS CLUB DE JAZZ	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GORRITI 5568		
ESPACIO POLONIA TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	FITZ ROY 1477		
INBOCCALUPO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ARREDONDO, VIRREY 2495		
ABASTO SOCIAL CLUB	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	YATAY 666		
OVEJA DESCARRIADA!	BAR CULTURAL	ARAOZ 1047		
EL EMERGENTE BAR CLUB	BAR CULTURAL	GALLO 333		
EL QUETZAL CASA CULTURAL	CENTRO CULTURAL	GUATEMALA 4516		
ESPACIO CULTURAL NUESTROS HIJOS. FUNDACION MADRES DE PLAZA DE MAYO	CENTRO CULTURAL	DEL LIBERTADOR AV. 8465		
AL ESCENARIO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ARAOZ DE LAMADRID, GREGORIO, GRAL. 1001		
GROOVE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SANTA FE AV. 4389		
THE ROXY LIVE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	VEGA, NICETO, CNEL. AV. 5542		
CINE BELGRANO MULTIPLEX	CINE	VUELTA DE OBLIGADO 2199		
CINE HOYTS ABASTO	CINE	CORRIENTES AV. 3247		
CINE HOYTS DOT	CINE	VEDIA 3626		
CINE VILLAGE CABALLITO	CINE	RIVADAVIA AV. 5071		
CINE VILLAGE RECOLETA	CINE	LOPEZ, VICENTE 2050		
SHOWCASE BELGRANO	CINE	MONROE 1655		
BUENOS AIRES MON AMOUR CINE CLUB	CINE	MAIPU 960		
CASASSA Y LORENZO LIBREROS. SUCURSAL DEVOTO SHOPPING.	LIBRERIA	QUEVEDO 3365		
CATHEDRA JURIDICA	LIBRERIA	LAVALLE 1292		
CERTEZA	LIBRERIA	IRIGOYEN, BERNARDO DE 654		
MARTINA CESPEDES	LIBRERIA	BOLIVAR 660		
LIBRERIA CUSPIDE. SUCURSAL CABILDO.	LIBRERIA	CABILDO AV. 1965		
LIBRERIA CUSPIDE. SUCURSAL CORRIENTES.	LIBRERIA	CORRIENTES AV. 1243		
LIBRERIA CUSPIDE. SUCURSAL CORRIENTES II.	LIBRERIA	CORRIENTES AV. 1316		
LIBRERIA CUSPIDE. SUCURSAL RIVADAVIA.	LIBRERIA	RIVADAVIA AV. 5045		
LIBRERIA CUSPIDE. SUCURSAL SANTA FE.	LIBRERIA	SANTA FE AV. 1818		
LIBRERIA CUSPIDE. SUCURSAL SANTA FE II.	LIBRERIA	SANTA FE AV. 2077		
LIBRERIA CUSPIDE. SUCURSAL FLORIDA.	LIBRERIA	FLORIDA 628		
LIBRERIA CUSPIDE. SUCURSAL GALERIAS PACIFICO.	LIBRERIA	SAN MARTIN 760		
LIBRERIA CUSPIDE. SUCURSAL SUIPACHA.	LIBRERIA	SUIPACHA 764		
LIBRERIA CUSPIDE. SUCURSAL VTE. LOPEZ.	LIBRERIA	LOPEZ, VICENTE 2050		
DANTE ALIGHIERI	LIBRERIA	TUCUMAN 1646		
DE LA MANCHA	LIBRERIA	CORRIENTES AV. 1888		
EL DEBATE	LIBRERIA	PUEYRREDON AV. 731		
LIBROS DEL SOL	LIBRERIA	SUPERI 1411		
DELFOS LIBROS. SUCURSAL CABILDO.	LIBRERIA	CABILDO AV. 3890		
LIBRERIA DESHORAS	LIBRERIA	CORDOBA AV. 1541		
LIBRERIA DICKENS	LIBRERIA	CORRIENTES AV. 1375		
DIDON	LIBRERIA	JUNIN 82		
DIOGENES I	LIBRERIA	MORENO 1767		
DIOGENES II	LIBRERIA	CORRIENTES AV. 1851		
DISTAL LIBROS. SUCURSAL CABILDO.	LIBRERIA	CABILDO AV. 2431		
DISTAL LIBROS. SUCURSAL CORRIENTES.	LIBRERIA	CORRIENTES AV. 921		
DISTAL LIBROS. SUCURSAL RIVADAVIA.	LIBRERIA	RIVADAVIA AV. 4648		
DISTAL LIBROS. SUCURSAL SANTA FE.	LIBRERIA	SANTA FE AV. 3142		
DISTAL LIBROS. SUCURSAL FLORIDA.	LIBRERIA	FLORIDA 249		
DISTAL LIBROS. SUCURSAL FLORIDA II.	LIBRERIA	FLORIDA 436		
DISTAL LIBROS. SUCURSAL RIVADAVIA II.	LIBRERIA	RIVADAVIA AV. 6879		
DISTAL LIBROS. SUCURSAL SCALABRINI ORTIZ.	LIBRERIA	SCALABRINI ORTIZ, RAUL 2518		
DISTAL LIBROS. SUCURSAL LAVALLE.	LIBRERIA	LAVALLE 775		
DISTAL LIBROS. SUCURSAL MEDRANO.	LIBRERIA	MEDRANO AV. 25		
DISTAL LIBROS. SUCURSAL R. FALCON.	LIBRERIA	FALCON, RAMON L.,CNEL. 7145		
MUSEO MANOBLANCA	MUSEO	TABARE 1371		
BIDOU DE LAS LUCES	BAR CULTURAL	PERU 269		
CAMINITO TANGO SHOW	MILONGA Y/O TANGUERIA	VALLE IBERLUCEA DEL, DR. 1151		
MUSEO CULTURAL DEL TANGO	MILONGA Y/O TANGUERIA	MAIPU 666		
TANGO 1921	MILONGA Y/O TANGUERIA	CHACABUCO 454		
SANATA BAR	BAR CULTURAL	SARMIENTO 3501		
MICHELANGELO TANGO	MILONGA Y/O TANGUERIA	BALCARCE 433		
ESQUINA OSVALDO PUGLIESE	MILONGA Y/O TANGUERIA	BOEDO AV. 909		
BOCATANGO	MILONGA Y/O TANGUERIA	BRANDSEN 923		
CLUB PEDRO ECHAGUE	MILONGA Y/O TANGUERIA	PORTELA 836		
CLUB SIN RUMBO	MILONGA Y/O TANGUERIA	TAMBORINI, JOSE PASCUAL 6157		
MANSION DANDY ROYAL	MILONGA Y/O TANGUERIA	PIEDRAS 922		
CLUB GLORIAS ARGENTINAS	MILONGA Y/O TANGUERIA	BRAGADO 6875		
IMAGEN TANGO	MILONGA Y/O TANGUERIA	BALBIN, RICARDO, DR. AV. 4699		
LA CATEDRAL	MILONGA Y/O TANGUERIA	SARMIENTO 4006		
LA INDEPENDENCIA	MILONGA Y/O TANGUERIA	INDEPENDENCIA AV. 572		
LA MILONGUITA (SEDE ARMENIA)	MILONGA Y/O TANGUERIA	ARMENIA 1353		
LA MILONGUITA (SEDE J. NEWBERY)	MILONGA Y/O TANGUERIA	NEWBERY, JORGE 2818		
LA NACIONAL	MILONGA Y/O TANGUERIA	ALSINA, ADOLFO 1465		
LO DE CELIA TANGO	MILONGA Y/O TANGUERIA	HUMBERTO 1 1783		
EL MALEVAJE	MILONGA Y/O TANGUERIA	GARIBALDI 1670		
CLUB GENERAL BELGRANO - PRACTICA COCHABAMBA 444	MILONGA Y/O TANGUERIA	COCHABAMBA 444		
PLAZA BOHEMIA TANGO	MILONGA Y/O TANGUERIA	ALSINA, ADOLFO 2540		
LIBRERIA DE MUJERES	LIBRERIA	RIVAROLA, RODOLFO, DR. 133		
LIBRERIA YENNY. SUCURSAL DEL PARQUE SHOPPING.	LIBRERIA	NAZARRE 3175		
OTRAS LETRAS	LIBRERIA	SOLER 4796		
LIBRERIA MEMORIAS DEL SUBSUELO	LIBRERIA	FLORIDA 835		
TANGO EN EL CENTRO SOCIAL CHICAGO	MILONGA Y/O TANGUERIA	DE LA TORRE, LISANDRO AV. 2319		
MURGUIA LIBROS	LIBRERIA	CORDOBA AV. 2270		
BAR EL CHINO	MILONGA Y/O TANGUERIA	BEAZLEY 3566		
LA CASONA DE FERNANDO	MILONGA Y/O TANGUERIA	CHILE AV. 318		
TACONEANDO EN LA VEREDA DE BEBA	MILONGA Y/O TANGUERIA	BALCARCE 725		
PORTEÑA MIA	MILONGA Y/O TANGUERIA	CHACABUCO 917		
MYTHOS LIBROS	LIBRERIA	GUEMES 4374		
LIBRERIA NORTE	LIBRERIA	LAS HERAS GENERAL AV. 2225		
OCS BOOK SHOP S.R.L.	LIBRERIA	SUPERI 1372		
LIBRERIA PAIDOS	LIBRERIA	LAS HERAS GENERAL AV. 3741		
DE LA RECOLETA GALERIA DE ARTE	GALERIA DE ARTE	AGUERO 2502		
TRANSARTE EMERGENCIAS CULTURALES	GALERIA DE ARTE	DEFENSA 1326		
PARADIGMA LIBROS	LIBRERIA	MAURE 1786		
LA PARAGRAFICA	LIBRERIA	CORDOBA AV. 1785		
PAULINAS	LIBRERIA	LARREA 50		
PARADIGMA LIBROS. SUCURSAL SOLDADO DE LA INDEPENDENCIA.	LIBRERIA	SOLDADO DE LA INDEPENDENCIA 826		
PELUFO LIBRERIAS	LIBRERIA	CORRIENTES AV. 4276		
LIBRERIA DEL PLATA	LIBRERIA	GUIDO 1927		
PLATERO LIBRERIA	LIBRERIA	TALCAHUANO 485		
ANTICUARIA POEMA 20	LIBRERIA	ESMERALDA 869		
PROMETEO LIBROS. SUCURSAL SANTIAGO DEL ESTERO (CS. SOCIALES, UBA).	LIBRERIA	SANTIAGO DEL ESTERO 1029		
PURR LIBROS. SUCURSAL AV. SANTA FE.	LIBRERIA	SANTA FE AV. 2729		
RINCON 9. SUCURSAL RINCON.	LIBRERIA	RINCON 9		
SAN PABLO	LIBRERIA	CALLAO AV. 325		
LIBRERIA SANTA FE. SUCURSAL CALLAO.	LIBRERIA	CALLAO AV. 335		
SBS LIBRERIA INTERNACIONAL. SUCURSAL CORONEL DIAZ.	LIBRERIA	DIAZ, CNEL. AV. 1747		
SBS LIBRERIA INTERNACIONAL. SUCURSAL AV. CORDOBA.	LIBRERIA	CORDOBA AV. 1840		
LIBRERIA LOS 7 LOCOS	LIBRERIA	ESMERALDA 482		
LIBRERIA SIGAL	LIBRERIA	CORRIENTES AV. 2854		
LA TECNOLOGIA	LIBRERIA	MEDRANO AV. 938		
TIEMPOS MODERNOS LIBROS	LIBRERIA	CUBA 1921		
EL TUNEL LIBROS	LIBRERIA	CABILDO AV. 2554		
TURISTICA	LIBRERIA	PARAGUAY 2457		
LIBRERIA DE LA UNIVERSIDAD DEL SALVADOR	LIBRERIA	RODRIGUEZ PE�A 764		
LIBRERIA DE LA UNIVERSIDAD DEL SALVADOR. SUCURSAL PERON.	LIBRERIA	PERON, JUAN DOMINGO, TTE. GENERAL 1818		
LIBRERIA UNIVERSIDAD DE BUENOS AIRES	LIBRERIA	TUCUMAN 1792		
WUSSMAN	GALERIA DE ARTE	VENEZUELA 574		
UTILISIMA SATELITAL	PRODUCTORA AUDIOVISUAL	PIEDRAS 1080		
EDITORIAL UNIVERSIDAD	EDITORIAL	RIVADAVIA AV. 1225		
LEXIS NEXIS-ABELEDO PERROT	LIBRERIA	TALCAHUANO 494		
LA LEY. SUCURSAL TUCUMAN.	EDITORIAL	TUCUMAN 1471		
LA LEY (SAN NICOLAS)	EDITORIAL	VIAMONTE 1534		
CALIBROSCOPIO	EDITORIAL	AGUIRRE 458		
EDITORIAL LONGSELLER SA	EDITORIAL	BLANCO ENCALADA 2388		
EDITORIAL LOSADA (CONGRESO)	EDITORIAL	CORRIENTES AV. 1551		
DISTRIBUIDORA LUMEN S.R.L.	EDITORIAL	VIAMONTE 1674		
EDICIONES MACCHI	EDITORIAL	PACHECO 3190		
MANOS ARTESANAS COMUNICACIONES	EDITORIAL	URUGUAY 1368		
MELOS EDICIONES MUSICALES S.A.	EDITORIAL	PERON, JUAN DOMINGO, TTE. GENERAL 1560		
EDICIONES NOVEDADES EDUCATIVAS - NOVEDUC LIBROS	EDITORIAL	CORRIENTES AV. 4345		
EDICIONES NUEVA TECNICA S.R.L.	EDITORIAL	VIAMONTE 2096		
EDITORIAL PATRIA GRANDE	EDITORIAL	RIVADAVIA AV. 6369		
RUBINZAL - CULZONI EDITORES	EDITORIAL	TALCAHUANO 442		
EDITORIAL SANTA MARIA	EDITORIAL	DIRECTORIO AV. 3755		
L.O.L.A. LITERATURE OF LATIN AMERICA	EDITORIAL	VIAMONTE 976		
ITFS N15 D.E. 01 INSTITUTO DE FORMACION TECNICA	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	FIGUEROA ALCORTA, PRES. AV. 2977		
INSTITUTO DE FORMACION TECNICA SUPERIOR N13 DE N8	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	ALBERDI, JUAN BAUTISTA AV. 163		
"INSTITUTO SUPERIOR DE FORMACION ARTISTICA DE ARTES VISUALES ""MANUEL BELGRANO"""	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	VILLAFAÃ‘E, WENCESLAO 1342		
INSTITUTO DE FORMACION TECNICA SUPERIOR N12 - IFTS	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	VIAMONTE 869		
"BACHILLERATO CON ORIENTACION ARTISTICA N 1 DE 08 ""ANTONIO BERNI"""	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	QUITO 4045		
"BACHILLERATO CON ORIENTACION ARTISTICA N 4 DE 6 ""XUL SOLAR"""	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	JUJUY AV. 150		
"INSTITUTO SUPERIOR DE FORMACION ARTISTICA DE DANZAS ""JORGE DONN"""	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	MAGARIÃ‘OS CERVANTES, A. 5068		
LIBRERIA UNIVERSITARIA DE BUENOS AIRES	LIBRERIA	TUCUMAN 1792		
URSINO TEXTOS MEDICOS	LIBRERIA	ALVEAR, MARCELO T. DE 2125		
VOCES DEL SUR	LIBRERIA	AZCUENAGA 720		
VUELVO AL SUR	LIBRERIA	LA RIOJA 2127		
LIBRERIA Y SU DOBLE	LIBRERIA	RODRIGUEZ PE�A 698		
LIBRERIA YENNY. SUCURSAL SALGUERO.	LIBRERIA	SALGUERO, JERONIMO 3172		
"INSTITUTO SUPERIOR DE FORMACION ARTISTICA DE CERAMICA ""FERNANDO ARRANZ"""	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	MAGARIÃ‘OS CERVANTES, A. 5068		
"ESCUELA DE DANZAS ""CURSO JUVENIL"" N6 DE 7"	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	PRINGLES 263		
"ESCUELA DE DANZAS N1 ""NELLY RAMICONE"""	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	FONROUGE 711		
FACULTAD DE CIENCIAS SOCIALES UBA (SEDE CONSTITUCION)	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	SANTIAGO DEL ESTERO 1029		
ESCUELA ARGENTINA DE TANGO (SEDE TALCAHUANO)	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	TALCAHUANO 1052		
ESCUELA ARGENTINA DE TANGO (SEDE CENTRO)	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	VIAMONTE Y SAN MARTIN		
FACULTAD DE FILOSOFIA Y LETRAS	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	PUAN 480		
"INSTITUTO SUPERIOR DE FORMACION ARTISTICA DE ARTES VISUALES ""ROGELIO YRURTIA"""	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	ALBERDI, JUAN BAUTISTA AV. 4754		
ESCUELA PROFESIONAL DE CINE ELISEO SUBIELA	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CUBA 2665		
ESCUELA DE CERAMICA N1 DE N2	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	BULNES 45		
"ESCUELA DE BELLAS ARTES DE N4 ""MANUEL BELGRANO"" ESCUELA MEDIA"	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	VILLAFAÃ‘E, WENCESLAO 1342		
"ESCUELA DE BELLAS ARTES DE N13 ""ROGELIO YRURTIA"" BACHILLER"	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	ALBERDI, JUAN BAUTISTA AV. 4754		
"INSTITUTO SUPERIOR DE ARTE ""TEATRO COLON"""	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CERRITO 628		
"INSTITUTO SUPERIOR DE FORMACION ARTISTICA DE DANZAS ""NELLY RAMICONE"""	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	PIERES 258		
